,storyline,cast
OMG: Oh My God! (2012),"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.","{'Hana': 'Aoi Miyazaki', 'Ôkami otoko': 'Takao Osawa', 'Yuki': 'Momoka Ôno', 'Ame': 'Yukito Nishii'}"
The Grand Budapest Hotel (2014),"The true story of Desmond T. Doss, the conscientious objector who, at the Battle of Okinawa, was awarded the Medal of Honor for his incredible bravery and regard for his fellow soldiers. We see his upbringing and how this shaped his views, especially his religious view and anti-killing stance. We see Doss's trials and tribulations after enlisting in the US Army and trying to become a medic. Finally, we see the hell on Earth that was Hacksaw Ridge.","{'Desmond Doss': 'Andrew Garfield', 'Teach': 'Richard Pyros', 'James Pinnick': 'Jacob Warner', 'Lucky Ford': 'Milo Gibson', 'Young Desmond': 'Darcy Bryce'}"
Gone Girl (2014),"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.","{'Joy': 'Amy Poehler', 'Sadness': 'Phyllis Smith', 'Bing Bong': 'Richard Kind', 'Fear': 'Bill Hader', 'Anger': 'Lewis Black'}"
Ôkami kodomo no Ame to Yuki (2012),"Set in the 1970s in a pretty corner of India, Barfi. is the story of three young people who learn that love can neither be defined nor contained by society's norms of normal and abnormal. Barfi, a hearing and speech impaired boy falls in love with Shruti. In spite of her deep affection for Barfii, Shruti gives into societal and parental pressure to marry a 'normal' man and lead a 'normal' life. Many years later their paths cross once again when Barfi, now in love with Jhilmil, is on the run from the police. Barfi is desperately seeking Jhilmil, who has gone missing. Shruti's realization that Jhilmil is autistic makes her recognize that true love is really blind. Caught in a cat and mouse game, in the search for the girl Barfi loves, Shruti realizes that she is still in love with him.","{'Barfii': 'Ranbir Kapoor', 'Jhilmil Chatterjee': 'Priyanka Chopra Jonas', 'Shruti Sengupta': ""Ileana D'Cruz"", 'Sudhanshu Dutta': 'Saurabh Shukla', ""Shruti's Mother"": 'Roopa Ganguly'}"
Hacksaw Ridge (2016),"Based on an incredible true story of one man's fight for survival and freedom. In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty personified by a malevolent slave owner, as well as unexpected kindnesses, Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon's chance meeting with a Canadian abolitionist will forever alter his life.","{'Solomon Northup': 'Chiwetel Ejiofor', 'Uncle Abram': 'Dwight Henry', 'Overseer': 'Dickie Gravois', 'Judge Turner': 'Bryan Batt', 'Anna': 'Ashley Dyke'}"
Inside Out (I) (2015),"Set against the sexy, glamorous golden age of Formula 1 racing in the 1970s, the film is based on the true story of a great sporting rivalry between handsome English playboy James Hunt (Hemsworth), and his methodical, brilliant opponent, Austrian driver Niki Lauda (Bruhl). The story follows their distinctly different personal styles on and off the track, their loves and the astonishing 1976 season in which both drivers were willing to risk everything to become world champion in a sport with no margin for error: if you make a mistake, you die.","{'James Hunt': 'Chris Hemsworth', 'Niki Lauda': 'Daniel Brühl', 'Suzy Miller': 'Olivia Wilde', 'Marlene Lauda': 'Alexandra Maria Lara', 'Clay Regazzoni': 'Pierfrancesco Favino'}"
Barfi! (2012),"As Enzo Ferrari's fast Rosso-Corsa racing cars dominate the mid-1960s motorsport world, the American car designer, Carroll Shelby, is forced to retire after winning the demanding 1959 '24 Hours of Le Mans' endurance race. But, before long, an unexpected proposition by the Vice President of Henry Ford's motor company, Lee Iacocca, will offer an opportunity to beat the Italians at their own game. Now, under those pressing circumstances, the British sports car driver and racing engineer, Ken Miles, reluctantly agrees to lend a hand and improve the firm's image, as Ford's race team has less than ninety days to rewrite history. As a result, the non-conformist duo comes up with the mighty Ford GT40 Mk I high-performance racing car. Can Shelby and Miles break Ferrari's streak? —Nick Riganas","{'Carroll Shelby': 'Matt Damon', 'Ken Miles': 'Christian Bale', 'Lee Iacocca': 'Jon Bernthal', 'Mollie Miles': 'Caitriona Balfe', 'Leo Beebe': 'Josh Lucas'}"
12 Years a Slave (2013),"When the Boston Globe's tenacious ""Spotlight"" team of reporters delves into allegations of abuse in the Catholic Church, their year-long investigation uncovers a decades-long cover-up at the highest levels of Boston's religious, legal, and government establishment, touching off a wave of revelations around the world.","{'Mike Rezendes': 'Mark Ruffalo', ""Walter 'Robby' Robinson"": 'Michael Keaton', 'Sacha Pfeiffer': 'Rachel McAdams', 'Marty Baron': 'Liev Schreiber', 'Ben Bradlee Jr.': 'John Slattery'}"
Rush (I) (2013),"Saoirse is a child who is the last of the selkies, women in Irish and Scottish legends who transform from seals into people. She escapes from her grandmother's home to journey to the sea and free fairy creatures trapped in the modern world.","{'Ben': 'David Rawle', 'Conor / Mac Lir': 'Brendan Gleeson', 'Bronach': 'Lisa Hannigan', 'Granny / Macha': 'Fionnula Flanagan', 'Saoirse': ""Lucy O'Connell""}"
Ford v Ferrari (2019),"Kolkata is abuzz with the preparations for the annual Durga Puja festival, as seven months pregnant Vidya Bagchi steps off the airplane from London. Her first stop is the local police station to file a missing person report. Weeks ago, her husband Arnab arrived in India for a job assignment. The first two weeks, they talked daily on the phone, and then without explanation, his calls stopped. Everywhere Vidya turns, no one can remember Arnab. There is no trace of him at the guest house or his workplace. But Vidya will not give up her search. Somewhere in Kolkata she will discover the dangerous truth.","{'Vidya Venkatesan-Bagchi': 'Vidya Balan', 'Inspector Satyaki Sinha aka Rana': 'Parambrata Chattopadhyay', 'Arnab Bagchi / Milan Damji': 'Indraneil Sengupta', 'Mr. Khan': 'Nawazuddin Siddiqui', 'Bhaskaran': 'Dhritiman Chatterjee'}"
Spotlight (I) (2015),"How far would you go to protect your family? Keller Dover is facing every parent's worst nightmare. His six-year-old daughter, Anna, is missing, together with her young friend, Joy, and as minutes turn to hours, panic sets in. The only lead is a dilapidated RV that had earlier been parked on their street. Heading the investigation, Detective Loki arrests its driver, Alex Jones, but a lack of evidence forces his release. As the police pursue multiple leads and pressure mounts, knowing his child's life is at stake the frantic Dover decides he has no choice but to take matters into his own hands. But just how far will this desperate father go to protect his family? —Warner Bros. Pictures","{'Keller Dover': 'Hugh Jackman', 'Detective Loki': 'Jake Gyllenhaal', 'Nancy Birch': 'Viola Davis', 'Grace Dover': 'Maria Bello', 'Franklin Birch': 'Terrence Howard'}"
Song of the Sea (2014),"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and almost everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.","{'Max Rockatansky': 'Tom Hardy', 'Imperator Furiosa': 'Charlize Theron', 'Nux': 'Nicholas Hoult', 'Immortan Joe': 'Hugh Keays-Byrne', 'Slit': 'Josh Helman'}"
Kahaani (2012),"Two brothers face the fight of a lifetime - and the wreckage of their broken family - within the brutal, high-stakes world of Mixed Martial Arts (MMA) fighting in Lionsgate's action/drama, WARRIOR. A former Marine, haunted by a tragic past, Tommy Riordan returns to his hometown of Pittsburgh and enlists his father, a recovered alcoholic and his former coach, to train him for an MMA tournament awarding the biggest purse in the history of the sport. As Tommy blazes a violent path towards the title prize, his brother, Brendan, a former MMA fighter unable to make ends meet as a public school teacher, returns to the amateur ring to provide for his family. Even though years have passed, recriminations and past betrayals keep Brendan bitterly estranged from both Tommy and his father. But when Brendan's unlikely rise as an underdog sets him on a collision course with Tommy, the two brothers must finally confront the forces that tore them apart, all the while waging the most intense, winner-takes-all battle of their lives.","{'Brendan Conlon': 'Joel Edgerton', 'Tommy Conlon': 'Tom Hardy', 'Paddy Conlon': 'Nick Nolte', 'Tess Conlon': 'Jennifer Morrison', 'Frank Campana': 'Frank Grillo'}"
Prisoners (2013),"A man calls up the Mumbai police, and tells them he has placed five different bombs in the city -- all set to go off in some time. He wants four terrorists in exchange. Does he get them? Who is behind it all? What's his motive? Is there more than meets the eye? —Saurabh Roy","{'Prakash Rathod': 'Anupam Kher', 'The Common Man': 'Naseeruddin Shah', 'Babu': 'Virendra Saxena', 'Stranger at Police Station': 'Mahesh Kanual', 'Ajay Khanna': 'Gaurav Kapoor'}"
Mad Max: Fury Road (2015),"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions. The task proves more difficult than Bruce imagined, as each of the recruits must face the demons of their own pasts to transcend that which has held them back, allowing them to come together, finally forming an unprecedented league of heroes. Now united, Batman, Wonder Woman, Aquaman, Cyborg and The Flash may be too late to save the planet from Steppenwolf, DeSaad and Darkseid and their dreadful intentions.","{'Batman / Bruce Wayne': 'Ben Affleck', 'Superman / Clark Kent': 'Henry Cavill', 'Lois Lane': 'Amy Adams', 'Wonder Woman / Diana Prince': 'Gal Gadot', 'Cyborg / Victor Stone': 'Ray Fisher'}"
Warrior (2011),"Walt Kowalski (Clint Eastwood) is a widower who holds onto his prejudices despite the changes in his Michigan neighborhood and the world around him. Kowalski is a grumpy, tough-minded, unhappy old man who can't get along with either his kids or his neighbors. He is a Korean War veteran whose prize possession is a 1972 Gran Torino he keeps in mint condition. When his neighbor Thao Lor (Bee Vang), a young Hmong teenager under pressure from his gang member cousin, tries to steal his Gran Torino, Kowalski sets out to reform the youth. Drawn against his will into the life of Thao's family, Kowalski is soon taking steps to protect them from the gangs that infest their neighborhood.","{'Walt Kowalski': 'Clint Eastwood', 'Father Janovich': 'Christopher Carley', 'Thao': 'Bee Vang', 'Sue': 'Ahney Her', 'Mitch Kowalski': 'Brian Haley'}"
A Wednesday (2008),"Harry (Daniel Radcliffe), Ron (Rupert Grint), and Hermione (Emma Watson) continue their quest of finding and destroying Voldemort's (Ralph Fiennes') three remaining Horcruxes, the magical items responsible for his immortality. But as the mystical Deathly Hallows are uncovered, and Voldemort finds out about their mission, the biggest battle begins, and life as they know it will never be the same again.","{'Lord Voldemort': 'Ralph Fiennes', 'Professor Albus Dumbledore': 'Michael Gambon', 'Professor Severus Snape': 'Alan Rickman', 'Harry Potter': 'Daniel Radcliffe', 'Ron Weasley': 'Rupert Grint'}"
Zack Snyder's Justice League (2021),"Daigo Kobayashi is a devoted cellist in an orchestra that has just been dissolved and now finds himself without a job. Daigo decides to move back to his old hometown with his wife to look for work and start over. He answers a classified ad entitled ""Departures"" thinking it is an advertisement for a travel agency only to discover that the job is actually for a ""Nokanshi"" or ""encoffineer,"" a funeral professional who prepares deceased bodies for burial and entry into the next life. While his wife and others despise the job, Daigo takes a certain pride in his work and begins to perfect the art of ""Nokanshi,"" acting as a gentle gatekeeper between life and death, between the departed and the family of the departed. The film follows his profound and sometimes comical journey with death as he uncovers the wonder, joy and meaning of life and living.","{'Daigo Kobayashi': 'Masahiro Motoki', 'Ikuei Sasaki': 'Tsutomu Yamazaki', 'Mika Kobayashi': 'Ryôko Hirosue', 'Tsuyako Yamashita': 'Kazuko Yoshiyuki', 'Yuriko Uemura': 'Kimiko Yo'}"
Gran Torino (2008),"Commuting by train, music professor Parker Wilson finds an Akita puppy, whose cage broke unnoticed during shipping, leaving his destination unknown, and since the station can't care for it and the dog catcher warns even such cute ones may not be adopted in the two weeks allowed, he kindly takes it home. His bossy, jealous wife Cate initially makes Parker swear it won't stay, but by the time its' clear nobody will claim him and an adoption candidate is found, she agrees to keep the dog, who won over their daughter Andy and her fiance Michael at first sight. Parker's Japanese college friend Ken inspires naming the pup Hachi(ko), and is pleasantly surprised when Parker successfully tackles the challenge to get it to fetch, which Akitas don't usually do. Hachi makes a habit of waiting for his equally doting master at the station every evening, but after a cardiac crisis, Parker dies. Hachi refuses to accept this, being moved to Michael's home as Cate moves out, waiting for a master who can never come home again, by now collectively adopted by sympathizing town-folk. The story is told in flashbacks as class assignment 'my hero' by Michael's teen son Robbie, who also gets an Akita puppy.","{'Parker Wilson': 'Richard Gere', 'Cate Wilson': 'Joan Allen', 'Ken': 'Cary-Hiroyuki Tagawa', 'Andy': 'Sarah Roemer', 'Carl': 'Jason Alexander'}"
Haeri Poteowa jugeumui seongmul - 2bu (2011),"In the mid-1970's, a homely, friendless Australian girl of 8 picks a name out of a Manhattan phone book and writes to him; she includes a chocolate bar. She's Mary Dinkle, the only child of an alcoholic mother and a distracted father. He's Max Horowitz, an overweight man with Asperger's, living alone in New York. He writes back, with chocolate. Thus begins a 20-year correspondence, interrupted by a stay in an asylum and a few misunderstandings. Mary falls in love with a neighbor, saves money to have a birthmark removed and deals with loss. Max has a friendship with a neighbor, tries to control his weight, and finally gets the dream job. Will the two ever meet face to face? —<jhailey@hotmail.com>","{'911 Operator / Ambulance Voice / Derisive Observer': 'Christopher Massey', 'Alleyway Bully One': 'Oliver Marks', 'Alleyway Bully Two / Bird Injury Girl / Bus Stop Girl / Katherine Ramsay': 'Daisy Kocher', 'Alleyway Bully Three': 'Daniel Marks', 'Animals': 'Hamish Hughes'}"
Okuribito (2008),"Long ago up North on the Island of Berk, the young Viking, Hiccup, wants to join his town's fight against the dragons that continually raid their town. However, his macho father and village leader, Stoik the Vast, will not allow his small, clumsy, but inventive son to do so. Regardless, Hiccup ventures out into battle and downs a mysterious Night Fury dragon with his invention, but can't bring himself to kill it. Instead, Hiccup and the dragon, whom he dubs Toothless, begin a friendship that would open up both their worlds as the observant boy learns that his people have misjudged the species. But even as the two each take flight in their own way, they find that they must fight the destructive ignorance plaguing their world.","{'Hiccup': 'Jay Baruchel', 'Stoick': 'Gerard Butler', 'Gobber': 'Craig Ferguson', 'Astrid': 'America Ferrera', 'Snotlout': 'Jonah Hill'}"
Hachi: A Dog's Tale (2009),"Based on a true story. After graduating from Emory University, Christopher McCandless abandoned his possessions, gave his entire savings account to charity, and hitchhiked to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters who shape his life.","{'Chris McCandless': 'Emile Hirsch', 'Billie McCandless': 'Marcia Gay Harden', 'Walt McCandless': 'William Hurt', 'Carine McCandless / Additional Narrator': 'Jena Malone', 'Rainey': 'Brian H. Dierker'}"
Mary and Max. (2009),"In rural Texas, welder and hunter Llewelyn Moss (Josh Brolin) discovers the remains of several drug runners who have all killed each other in an exchange gone violently wrong. Rather than report the discovery to the police, Moss decides to simply take the two million dollars present for himself. This puts the psychopathic killer, Anton Chigurh (Javier Bardem), on his trail as he dispassionately murders nearly every rival, bystander and even employer in his pursuit of his quarry and the money. As Moss desperately attempts to keep one step ahead, the blood from this hunt begins to flow behind him with relentlessly growing intensity as Chigurh closes in. Meanwhile, the laconic Sheriff Ed Tom Bell (Tommy Lee Jones) blithely oversees the investigation even as he struggles to face the sheer enormity of the crimes he is attempting to thwart.","{'Ed Tom Bell': 'Tommy Lee Jones', 'Anton Chigurh': 'Javier Bardem', 'Llewelyn Moss': 'Josh Brolin', 'Carson Wells': 'Woody Harrelson', 'Carla Jean Moss': 'Kelly Macdonald'}"
How to Train Your Dragon (2010),"A hilarious underworld gangster known as Munna Bhai falls comically in love with a radio host by the name of Jahnvi, who runs an elders' home, which is taken over by an unscrupulous builder, who gets the residents kicked out ironically with the help of Munna's sidekick, Circuit, while Munna is busy romancing Jahnvi elsewhere. Munna, who is now masquerading as a Professor specializing in the life of Mahatma Gandhi, must now battle his very own forces and the builder - but he has one ally on his side - none other than the great man - Mahatma Gandhi himself. Only trouble is that Munna may have problems convincing everyone about this presence - as he is apparently is the only one who can see and hear him.","{""Murliprasad 'Munna Bhai' Sharma"": 'Sanjay Dutt', ""Sarkeshwar 'Circuit'"": 'Arshad Warsi', 'Jhanvi': 'Vidya Balan', ""Lakhbir 'Lucky' Singh"": 'Boman Irani', 'Mahatma Gandhi': 'Dilip Prabhavalkar'}"
Into the Wild (2007),"In the distant future, Evey Hammond is an average citizen of the United Kingdom, which is under the rule of the fascist and tyrannical Norsefire Party. She is an employee of the state-run British Television Network, but soon, she becomes the number one enemy of the state together with an enigmatic and larger-than-life freedom fighter known only by the letter ""V"". V informs Evey that she must hide in his underground lair for at least one year, and while she is reluctant to the idea at first, a bond soon forms between the two individuals. In the meanwhile, the mysterious past of V is gradually revealed to the police inspector tasked with capturing him, Eric Finch, and it is not long until he starts questioning everything his government stands for.","{'Evey': 'Natalie Portman', 'V': 'Hugo Weaving', 'Finch': 'Stephen Rea', 'Deitrich': 'Stephen Fry', 'Adam Sutler': 'John Hurt'}"
No Country for Old Men (2007),"In Tokyo, the reckless single mother Keiko moves to a small apartment with her twelve years old son Akira Fukushima and his siblings Shigeru and Yuki. Kyoko, another sibling arrives later by train. The children have different fathers and do not have schooling, but they have a happy life with their mother. When Keiko finds a new boyfriend, she leaves the children alone, giving some money to Akira and assigning him to take care of his siblings. When the money runs out, Akira manages to find means to survive with the youngsters without power supply, gas or water at home, and with the landlord asking for the rent.","{'Akira Fukushima': 'Yûya Yagira', 'Kyoko': 'Ayu Kitaura', 'Shigeru': 'Hiei Kimura', 'Yuki': 'Momoko Shimizu', 'Saki': 'Hanae Kan'}"
Lage Raho Munna Bhai (2006),"Sue comes to India to make a film on Indian revolutionaries.She is helped by her friend Sonia who introduces her to her friends Karan,Aslam,Sukhi and their head DJ.Sonia's fiance Lt Ajay Rathod also joins the gang when in town.Their gang always gets in trouble with a political member Laxman who opposes their western culture.After many auditions Sue decides to caste DJ and his friend's in her film.She also casts Laxman in a role thus ending his feud with the gang.All things are going well until Ajay dies in plane crash but manages to save everyone on board.The state minister declares that Ajay died due to his own negligence .DJ an his friends can't take shame given to Ajay by minister and decide to fight for justice.Where things will take ugly events due to political games.","{""Daljeet 'DJ' / Chandrashekhar Azad"": 'Aamir Khan', 'Karan R. Singhania / Bhagat Singh': 'Siddharth', 'Sukhi / Rajguru': 'Sharman Joshi', 'Aslam / Ashfaqullah Khan': 'Kunal Kapoor', 'Laxman Pandey / Ramprasad Bismil': 'Atul Kulkarni'}"
V for Vendetta (2005),"Wanting to learn from the best, aspiring boxer Maggie Fitzgerald (Hilary Swank) wants Frankie Dunn (Clint Eastwood) to train her. At the outset, he flatly refuses saying he has no interest in training a girl. Frankie leads a lonely existence, alienated from his only daughter and having few friends. Maggie's rough around the edges, but shows a lot of grit in the ring and he eventually relents. Maggie not only proves to be the boxer he always dreamed of having under his wing, but a friend who fills the great void he's had in his life. Maggie's career skyrockets, but an accident in the ring leads her to ask Frankie for one last favor.","{'Frankie Dunn': 'Clint Eastwood', 'Maggie Fitzgerald': 'Hilary Swank', 'Eddie Scrap-Iron Dupris': 'Morgan Freeman', 'Danger Barch': 'Jay Baruchel', 'Big Willie Little': 'Mike Colter'}"
Dare mo shiranai (2004),"1994. In Rwanda, the classification of the native population into Hutus and Tutsis, arbitrarily done by the colonial Belgians, is now ingrained within Rwandan mentality despite the Rwandan independence. Despite the Belgians having placed the Tutsis in a higher position during the Belgian rule, they have placed the majority Hutus in power after independence. Paul Rusesabagina, a Hutu married to a Tutsi, Tatiana Rusesabagina, is the House Manager of the Hotel Des Milles Collines in Kigali. The Milles Collines, owned by Sabena (the national airline of Belgium), is a four-star hotel catering primarily to wealthy white westerners. Paul, who knows how to work the system to run the hotel effectively for its guests and for Sabena, is proud that most of the Caucasians who he meets in this professional capacity treat him with respect. After a specific incident, the relative calm between the Tutsi guerrillas and government-backed Hutu militia takes a turn. Paul's thought that the native population as a whole who are not directly involved in the conflict will be protected as the UN peacekeeping forces and thus the world is watching doesn't happen as the western world largely evacuates from Rwanda and abandons the natives. Such begins what will become a genocide of the Tutsi population. Paul, who is able to get his immediate family to the hotel which is still largely seen as a place of sanctuary, will have to use the considerable skills he has used to run the hotel as well as he has instead to keep himself, his family and any others taking refuge at the hotel alive, whether they be Hutu or Tutsi. Meanwhile, Colonel Oliver, a Canadian heading the UN peacekeeping forces, and Pat Archer with the Red Cross do what they can to assist Paul and to get people to safety first to the hotel then out of the country, while field journalists, like photographer Jack Daglish, try to bring the genocide back into the global media to have the world once again care about what is going on.","{'Policeman': 'Xolani Mali', 'Paul Rusesabagina': 'Don Cheadle', 'Dube': 'Desmond Dube', 'George Rutaganda': 'Hakeem Kae-Kazim', 'Gregoire': 'Tony Kgoroge'}"
